Тип,"Sном, МВА",Пределы регулирования,Uном.обм ВН кВ,Uном.обм НН кВ,"Uк, %","ΔРк, кВт","Рх, кВт","Iх, %","Rт, Ом","Хт, Ом","ΔQх, квар"
ТРДЦН(ТРДЦНК)-80000/110,80,"±9*1,78 %",115,"6,3/6,3;6,3/10,5;10,5/10,5","10,5",310,70,"0,6","0,6","17,4",480
ТДЦ-125000/110,125,"±2*2,5 %",121,"10,5;13,8","10,5",400,120,"0,55","0,37","12,3","687,5"
ТРДЦН-125000/110,125,"±9*1,78 %",115,"10,5/10,5","10,5",400,100,"0,55","0,4","11,1","687,5"
ТДЦ-200000/110,200,"±2*2,5 %",121,"13,8;15,75;18","10,5",550,170,"0,5","0,2","7,7",1000
ТДЦ-250000/110,250,"±2*2,5 %",121,"15,75","10,5",640,200,"0,5","0,15","6,1",1250
ТДЦ-400000/110,400,"±2*2,5 %",121,20,"10,5",900,320,"0,45","0,08","3,8",1800
ТДН-16000/150,16,"±8*1,5 %",158,"6,6;11",11,85,21,"0,8","8,3",172,128
ТРДН-32000/150,32,"±8*1,5 %",158,"6,3/6,3;6,3/10,510,5/10,5","10,5",145,35,"0,7","3,54",82,224
ТРДН-63000/150,63,"±8*1,5 %",158,"6,3/6,3;6,3/10,510,5/10,5","10,5",235,59,"0,65","1,48","41,6",410
ТЦ (ТДЦ)-250000/150,250,-,165,"10,5;13,8;15,75",11,640,190,"0,5","0,3",12,1250
ТРДН-40000/220,40,"±8*1,5 %",230,"11/11; 6,6/6,6",12,170,50,"0,9","5,6","158,7",360
ТРДЦН-63000/220,63,"±8*1,5 %",230,"11/11; 6,6/6,6",12,300,82,"0,8","3,9","100,7",504
ТДЦ-80000/220,80,"±2*2,5 %",242,"6,3; 10,5; 13,8",11,320,105,"0,6","2,9","80,5",480
ТРДЦН-100000/220,100,"±8*1,5 %",230,"11/11; 38,5",12,360,115,"0,7","1,9","63,5",700
ТДЦ-125000/220,125,"±2*2,5 %",242,"10,5; 13,8",11,380,135,"0,5","1,4","51,5",625
ТРДЦН-160000/220,160,"±8*1,5 %",230,"11/11; 38,5",12,525,167,"0,6","1,08","39,7",960
ТДЦ-200000/220,200,"±2*2,5 %",242,"13,8; 15,75; 18",11,580,200,"0,45","0,77","32,2",900
ТДЦ-250000/220,250,-,242,"13,8; 15,75",11,650,240,"0,45","0,6","25,7",1125
ТДЦ-400000/220,400,-,242,"13,8; 15,75; 20",11,880,330,"0,4","0,29","16,1",1600
ТЦ-630000/220,630,-,242,"15,75; 20","12,5",1300,380,"0,35","0,2","11,6",2205
ТЦ-1000000/220,1000,-,242,24,"11,5",2200,480,"0,35","0,2","6,7",3500
ТРДНС-40000/330,40,"±8*1,5 %",330,"6,3/6,3;6,3/10,5;10,5/10,5",11,180,80,"1,4","12,3",299,560
ТРДЦН-63000/330,63,"±1,5 %",330,"6,3/6,3;6,3/10,5;10,5/10,5",11,265,120,"0,7","7,3",190,441
ТДЦ- 125000/330,125,-,347,"10,5;13,8",11,360,145,"0,5","2,78",106,625
ТДЦ- 200000/330,200,-,347,"13,8;15,75;18",11,560,220,"0,45","1,68","66,2",900
ТДС- 250000/330,250,-,347,"13,8;15,75",11,605,240,"0,45","1,2","52,9",1125
"ТЦС- 400000/330, ТДЦ- 400000/330",400,-,347,"15,75;20",11,810,365,"0,4","0,6",33,1600
ТЦ- 630000/330,630,-,347,"15,75;20;24",11,1300,405,"0,35","0,4",21,2205
ТЦ- 1000000/330,1000,-,347,24,"11,5",2200,480,"0,4","0,26","13,2",4000
ТЦ- 1250000/330,1250,-,347,24,14,2300,750,"0,75","0,2","10,6",5375
"ТДЦ-250000/500, ТЦ- 250000/500",250,-,525,"15,75",13,600,250,"0,45","2,65",143,1125
"ТДЦ-400000/500, ТЦ- 400000/500",400,-,525,"13,8; 15,75;20",13,800,350,"0,4","1,4","89,5",1600
ТЦ- 630000/500,630,-,525,"15,75; 20;24",14,1300,500,"0,35","0,9","61,3",2205
ТЦ- 1000000/500,1000,-,525,24,"14,5",2000,600,"0,38","0,55",40,3800
ОЦ- 533000/500*,533,-,525/√3,"15,75;24","13,5",1400,300,"0,3","0,45","23,3",4797
ОРЦ-417000/750*,417,-,787/√3,20;24,14,800,400,"0,3","0,96","69,3",3753
